Up or Down,open,high,low,close,Consensus Estimate Revenue,Actual Revenue,Retained Earnings,Consensus Estimat Earnings Per share,Earnings Per Share,return on Assets,Gross Profit,Net Income,Gross Margin,Profit Margin,Working Capital,Current Ratio (CA/CL),Debt-To-Assets Ratio
0,81.19000244,81.52999878,78.12000275,79.43000031,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
1,78.19999695,81.04000092,78.19999695,79.62000275,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
0,79.34999847,80,77.02999878,77.27999878,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
0,78.01999664,79.05000305,75.01000214,76.15000153,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
1,76.69999695,80,76.69999695,79.16999817,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
1,78.41999817,82.52999878,78.41000366,81.69999695,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
1,83.15000153,84.30000305,82.80000305,82.97000122,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
0,82,83.16999817,81.31999969,82.51999664,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
1,82.20999908,84.47000122,81.5,84.26000214,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
0,83.09999847,83.45999908,80.51000214,81.09999847,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
0,81.30000305,82.15000153,79.55000305,80.68000031,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
0,79.55000305,80.79000092,77.62999725,79.63999939,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
1,80.44999695,82.15000153,79.51999664,80.51000214,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
0,79.09999847,79.88999939,76,76.30000305,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
0,75.58999634,76.06999969,72.62000275,74.66000366,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
0,75.02999878,76.12000275,73.20999908,73.33000183,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
1,72.23999786,74.23000336,70.51999664,73.62000275,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
0,74.16000366,74.41000366,71.37999725,71.44000244,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
1,72.51000214,73.83999634,70.51999664,72,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
1,72.37000275,74.40000153,70.76000214,72.48999786,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
1,72.37999725,75.48999786,71.75,75.04000092,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
0,74.55999756,74.90000153,70.48000336,70.61000061,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
1,70.69999695,71.76999664,67.98999786,70.62999725,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
0,69.40000153,69.98999786,66.73999786,68.54000092,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
0,69.30999756,69.5,65.58999634,66.27999878,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
1,65.87000275,68.62000275,62.99000168,67.02999878,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
1,66.94000244,72.75,66.83999634,71.83999634,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
1,71.19999695,72.37999725,67.73999786,72.11000061,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
0,69.94000244,70.83999634,68.40000153,69.12000275,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
0,69.51999664,69.80000305,66.30000305,68.48000336,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
0,67.08999634,69.13999939,65.87999725,67.97000122,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
1,67.45999908,72.06999969,67.45999908,70.54000092,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
1,76.30000305,82.37999725,76.29000092,78.72000122,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
0,79.62999725,80.94000244,78.12000275,78.30999756,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
0,77.08999634,78.30999756,74.86000061,75.98000336,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
1,76.48999786,78.80000305,76.16000366,78.20999908,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
0,78.36000061,79.84999847,76.41999817,78.20999908,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
0,76.75,78.16999817,76.09999847,76.33999634,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
0,76.36000061,76.48999786,74.05000305,75.75,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
0,75.98999786,77.30000305,75.01000214,75.70999908,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
1,76.91999817,79.51999664,76.51999664,79.11000061,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
0,78.55000305,78.62999725,76.73000336,78.08999634,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
0,77.01000214,78.05000305,76,76.94999695,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
1,76.77999878,81.20999908,76.29000092,80.51000214,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
