Open,High,Low,Close,Volume,Accumulation Distribution Line,MACD,Chaikan Oscillator (CHO),Highest closing price (5 days),Lowest closing price (days),Stochastic %K (5 days),%D,Volume Price Trend (VPT),Williams %R (14 days),Relative Strength Index,Momentum (10 days),Price rate of change (PROC),Volume rate of change (VROC),On Balance Volume (OBV)
25.129999,25.620001,24.360001,25.030001,1033900,-366214.583,0.3985012,-309272.5565,26.18,24.65,41.91921309,42.93121537,-920138.2064,-64.56137975,50.92734947,-1.67,-6.114024756,-63.91022061,9215800
25.26,25.26,24.65,25.16,548700,398471.4026,0.35747113,-36599.02528,26.18,24.93,48.48482247,49.87715348,-914768.4117,-78.71398169,51.70832095,-1.33,-2.593883082,-78.97137163,9764500
25.700001,26.09,25.299999,25.75,837200,206313.5496,0.368316846,17135.28657,26.18,25.030001,78.28281731,56.22895096,-901901.4403,-61.05529172,55.19356154,-1.49,-3.558056047,-73.68040492,10601700
25.85,26.98,25.59,26.74,1386100,1371115.751,0.451591218,408178.6339,26.98,25.030001,90.83969116,72.53577698,-869713.9452,-32.08558824,60.36284976,0.25,0.943752359,7.591399519,11987800
26.700001,26.73,25.969999,26.389999,800900,1332768.431,0.483768025,518842.3437,26.98,25.030001,77.48086927,82.20112591,-887856.6672,-41.44390374,57.82299054,1.119999,-3.120414831,-71.50126321,11186900
26.66,27.25,26.309999,26.93,1400000,369486.2115,0.546541751,210447.4878,27.25,25.16,87.69230769,85.33762271,-871468.3831,-27.00537433,60.57898106,2.28,1.661004153,-28.07233868,12586900
26.93,27.360001,26.629999,27.08,996900,457639.2385,0.601460861,93203.05639,27.360001,25.75,86.40773164,83.86030287,-863670.3883,-22.99467914,61.33477576,2.15,7.162643451,-27.20169417,13583800
27.07,27.690001,26.719999,27.66,1600000,1520748.593,0.683902206,375028.4875,27.690001,26.389999,98.57138163,90.89047366,-842318.7635,-0.859627507,64.19342093,2.520001,12.21095335,17.87240312,15183800
27.690001,27.870001,27.42,27.6,726000,1149594.871,0.73591292,338132.8445,27.870001,26.389999,85.78943601,90.2561831,-845789.4793,-7.356975477,63.66900518,2.02,10.70998797,-40.07428807,14457800
27.6,27.799999,27.059999,27.450001,784600,-370017.5502,0.756309852,-191213.2203,27.870001,26.93,73.07695759,85.81259175,-849735.1052,-11.44414169,62.29879669,2.42,9.188552474,-20.2155786,13673200
27.379999,27.389999,26.5,26.870001,913900,-260915.5821,0.717403631,-355666.6006,27.870001,26.870001,27.00735255,61.95791538,-866313.1738,-27.2479564,57.17503042,1.710001,5.043006255,-3.137254902,12759300
26.780001,27,25.75,26.690001,1044500,526977.2028,0.664387036,-139916.4972,27.870001,26.690001,44.3396489,48.14131968,-872435.3172,-32.15258856,55.64546306,0.940001,6.632041285,1.025244221,11714800
27.200001,27.440001,26.17,26.440001,1218500,92344.03517,0.595335435,-177227.7813,27.870001,26.440001,32.54720163,34.63140102,-882218.9437,-40.74074074,53.50452121,-0.299999,5.087444356,122.0703481,10496300
26.9,27.700001,26.620001,27.120001,981700,-666811.1042,0.588695742,-417929.2344,27.799999,26.440001,66.82934967,47.90540007,-850880.8208,-21.36752137,58.21386993,0.730002,5.320392233,17.259914,11478000
27,28,26.85,27.91,916400,863306.4799,0.639804784,8451.15097,28,26.440001,96,65.1255171,-822284.1398,-2.686567164,62.91354431,0.98,4.375467464,-33.88644398,12394400
28.24,28.950001,27.91,28.33,1535300,629216.143,0.706060531,107627.915,28.950001,26.440001,80.6249748,81.15144149,-808493.8137,-16.98631946,65.15719945,1.25,7.351273488,91.69684105,13929700
28.200001,28.299999,26.92,27.07,962500,-983954.9551,0.649411211,-374865.8414,28.950001,26.440001,32.37408907,69.66635463,-876777.5412,-55.95239406,54.50410198,-0.59,0.51986632,-31.25,12967200
27.07,27.74,26.65,27.67,628000,-113275.6342,0.64549039,-261136.6086,28.950001,27.07,45.06433476,52.68779955,-855443.9616,-40.00001875,58.023625,0.07,2.17872969,-37.00471462,13595200
28,28.190001,27.299999,27.549999,661500,289918.914,0.625489777,-62582.14725,28.950001,27.07,39.13037429,38.85626604,-858167.5116,-43.75004883,57.07267412,0.099998,-0.397689805,-58.65625,12933700
27.99,27.99,26.549999,26.6,755700,-1001984.965,0.526908296,-386726.3612,28.950001,26.6,2.083373264,28.75936077,-880977.8332,-73.4375083,50.07579953,-0.270001,-3.623188406,4.090909091,12178000
27,27,25.719999,25.959999,1234200,-1398253.835,0.392613229,-610259.42,28.299999,25.959999,9.302325581,16.83869105,-899160.1173,-92.56966404,45.98563962,-0.730002,-5.42805809,57.30308437,10943800
26.1,26.469999,25.52,26.35,729500,-193241.3783,0.314033263,-262813.5787,28.190001,25.959999,31.08613068,14.15727651,-880618.5436,-75.80175633,48.73362704,-0.090001,-1.935247416,-20.17726228,11673300
27.030001,28.440001,26.6,28.200001,2655100,4415183.754,0.396467463,1369532.588,28.440001,25.959999,91.78082473,44.056427,-829401.2484,-21.86588284,59.30898256,1.08,5.657549432,154.1981809,14328400
28.26,28.280001,27.35,27.969999,842500,4143359.766,0.438186776,1826318.151,28.440001,25.959999,83.90404661,68.92366734,-851056.5068,-28.57147855,57.71495767,0.059999,5.786679055,-30.85761182,13485900
27.620001,27.620001,26.620001,26.82,863600,-276647.4129,0.374141455,440790.1295,28.440001,25.959999,44.5205327,73.40180135,-885696.2706,-62.09913641,50.41845581,-1.51,-1.106198337,-12.03015178,12622300
27.02,27.5,26.6,26.719999,613700,-976392.3561,0.311722488,-388734.7368,28.440001,26.35,41.09584209,56.50680713,-888916.2879,-65.01461661,49.82853193,-0.350001,-4.263708348,-33.03142732,12008600
26.9,29.01,26.17,28.98,4693100,12679805.37,0.439551327,3652407.525,29.01,26.719999,98.94366197,61.52001225,-837009.0025,-0.859598854,60.9490896,1.31,2.294387575,205.6796717,16701700
28.82,29.76,28.1,29.48,3336900,17180107.4,0.574579034,6405479.321,29.76,26.719999,92.2005571,77.41335372,-756037.6429,-6.603773585,62.90792072,1.930001,8.902844477,246.6909091,20038600
29.540001,29.67,28.82,29.549999,1687100,5035471.902,0.679406029,3085217.459,29.76,26.719999,94.15038997,95.09820302,-748114.3165,-4.952853774,63.18632857,2.949999,6.794358511,168.6464968,21725700
29.690001,30.280001,29.549999,30.139999,3290500,2303733.424,0.80085845,577264.6854,30.280001,26.719999,96.59362613,94.31485774,-714429.4084,-2.941217869,65.5344997,4.18,9.40108927,397.4300831,25016200
30,30.1,28.379999,28.52,1529900,119148.0105,0.757656199,-1196289.961,30.280001,28.52,57.17760166,82.64053926,-891290.9507,-36.97480316,55.13534323,2.17,7.218045113,102.4480614,23486300
